relative_path,area,provenance,extension,filename,basename,size_bytes,cluster,inferred_function,source_hint
Anti\VALUTA\DLL\SENDOKMANY\MAKEDLL\SENDOKMANY.dll,VALUTA,original,.dll,SENDOKMANY.dll,SENDOKMANY,666624,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\SETRATE\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,678400,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\SETRATE\MAKEDLL\Setrate.dll,VALUTA,original,.dll,Setrate.dll,Setrate,675328,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\STORNO\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,879104,storno,Sztorno tranzakcio vagy visszavonas,
Anti\VALUTA\DLL\STORNO\MAKEDLL\Storno.dll,VALUTA,original,.dll,Storno.dll,Storno,877568,storno,Sztorno tranzakcio vagy visszavonas,
Anti\VALUTA\DLL\SUPER\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,428032,supervisor,Supervisor jogosultsag vagy felulbiraslat,
Anti\VALUTA\DLL\SUPER\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,409600,supervisor,Supervisor jogosultsag vagy felulbiraslat,
Anti\VALUTA\DLL\SUPER\EXEPROBA\SUPER.dll,VALUTA,original,.dll,SUPER.dll,SUPER,425472,supervisor,Supervisor jogosultsag vagy felulbiraslat,
Anti\VALUTA\DLL\SUPER\MAKEDLL\super.dll,VALUTA,original,.dll,super.dll,super,425472,supervisor,Supervisor jogosultsag vagy felulbiraslat,
Anti\VALUTA\DLL\SUPERTSK\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,958464,supervisor,Supervisor jogosultsag vagy felulbiraslat,
Anti\VALUTA\DLL\SUPERTSK\MAKEDLL\SUPERTSK.dll,VALUTA,original,.dll,SUPERTSK.dll,SUPERTSK,956416,supervisor,Supervisor jogosultsag vagy felulbiraslat,
